Confirmed Category,Obesity,Meat,Fruits - Excluding Wine,"Fish, Seafood",Animal Products,Vegetal Products
Sangat Tidak Banyak,10.856250000000001,9.902969696969695,0.4566757575757575,1.024506060606061,16.952912121212123,33.047857575757575
Tidak Banyak,15.481250000000001,8.023331249999998,0.7586562500000001,0.7771125000000001,17.719428124999997,32.2802
Sedang,19.378125,8.567009375,0.4604093749999999,0.790903125,21.461984375000007,28.538681250000003
Cukup Banyak,22.446875000000006,9.819503124999999,0.4950531249999999,0.6366656250000002,24.095684374999998,25.904362499999998
Sangat Banyak,24.299999999999997,10.505815625000004,0.5855375,0.8006,23.609034375000007,26.390828124999995
